id,question,correct_answer,choice_1,choice_2,choice_3,difficulty,Knowledge Category,Topic Focus
546,What is the square root of 49?,7,6,8,9,1,Mathematics,Algebra
547,What is the formula for the area of a circle?,πr²,2πr,πd²/4,4πr²,2,Mathematics,Geometry
548,What is the value of pi (π) to two decimal places?,3.14,3.12,3.15,3.16,3,Mathematics,Mathematical Constants
549,Who wrote 'Pride and Prejudice'?,Jane Austen,Emily Bronte,Mary Shelley,Charlotte Bronte,0,Literature,Authors & Literature
550,What is the main character’s name in '1984' by George Orwell?,Winston Smith,John Smith,Peter Parker,Big Brother,1,Literature,Literary Characters
551,What is the genre of 'To Kill a Mockingbird'?,Southern Gothic,Romance,Sci-Fi,Fantasy,2,Literature,Genres
552,Which work is NOT by William Shakespeare?,Paradise Lost,Macbeth,Hamlet,The Tempest,3,Literature,Authors & Works
553,What is the chemical symbol for water?,H2O,O2,H2,CO2,0,Science,Chemistry
554,What is the process of water turning into vapor called?,Evaporation,Condensation,Precipitation,Transpiration,1,Science,Processes
555,What is the atomic number of Carbon?,6,12,8,4,2,Science,Chemistry
556,What is the most abundant gas in Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Argon,3,Science,Atmospheric Science
557,What planet is known as the Red Planet?,Mars,Earth,Jupiter,Saturn,0,Astronomy,Planets
558,What is the largest moon of Saturn?,Titan,Ganymede,Europa,Callisto,1,Astronomy,Moons
559,What galaxy is closest to the Milky Way?,Andromeda,Triangulum,Whirlpool,Sombrero,2,Astronomy,Galaxies
560,What is the term for a star's explosion?,Supernova,Pulsar,Quasar,Black Hole,3,Astronomy,Stellar Events
